codigo_dane,miunicipio,lat,lon
68001000,BUCARAMANGA,7.116470,-73.132562
68001015,EL NOGAL,7.183615,-73.130602
68001016,EL PEDREGAL,7.147652,-73.104714
68001017,VIJAGUAL,7.194712,-73.130041
68001018,VILLA CARMELO,7.205155,-73.130333
68001019,VILLA LUZ,7.186272,-73.132338
68013000,AGUADA,6.162355,-73.523132
68020000,ALBANIA,5.759166,-73.913360
68020001,CARRETERO,5.834428,-73.773560
68020002,EL HATILLO,5.811190,-73.770478
68020003,LA MESA,5.780124,-73.827553
68051000,ARATOCA,6.694418,-73.017860
68051001,CHIFLAS,6.743120,-73.008847
68051012,EL HOYO,6.701918,-73.010057
68051013,BRISAS DEL CHICAMOCHA,6.738010,-73.010150
68077000,BARBOSA,5.932531,-73.615965
68077001,CITE,5.964556,-73.603425
68077003,BUENAVISTA,5.932789,-73.645583
68077005,CRISTALES,5.914653,-73.635060
68077006,FRANCISCO DE PAULA,5.932629,-73.634325
68079000,BARICHARA,6.634111,-73.223047
68079001,GUANE,6.678158,-73.239997
68081000,"BARRANCABERMEJA, DISTRITO ESPECIAL, PORTUARIO, BIODIVERSO, INDUSTRIAL Y TURÍSTICO",7.064857,-73.849243
68081001,EL CENTRO,6.940723,-73.764371
68081002,EL LLANITO,7.164411,-73.847311
68081004,MESETA SAN RAFAEL,7.144022,-73.584849
68081006,SAN RAFAEL DE CHUCURÍ,6.876994,-74.033932
68081009,LOS LAURELES,7.018453,-73.805203
68081010,LA FORTUNA,7.132294,-73.556871
68081012,CAMPO 16,6.921422,-73.766750
68081013,CAMPO 23,6.862959,-73.762803
68081015,CAMPO 6,6.976585,-73.784199
68081016,CAMPO GALÁN,7.085827,-73.895262
68081018,CIÉNAGA DE OPÓN,6.904611,-73.901153
68081020,CRETACEO,6.930055,-73.773136
68081023,GALÁN BERLÍN,7.088806,-73.888723
68081027,LA FOREST,6.963067,-73.778364
68081031,PROGRESO,6.956218,-73.772940
68081032,PUEBLO REGAO,6.950664,-73.766802
68081034,QUEMADERO,6.938616,-73.773555
68081036,EL PALMAR,6.958012,-73.768939
68092000,BETULIA,6.899525,-73.283669
68092008,TIENDA NUEVA,7.115527,-73.435745
68092010,LA PLAYA,7.110320,-73.426027
68092012,EL PEAJE,7.117505,-73.442999
68101000,BOLÍVAR,5.988953,-73.771346
68101002,BERBEO,6.074534,-73.751657
